state_abbr,year,fiscal_year,leg_total,leg_sales,leg_income,leg_corporate,leg_cigarette_tobacco,leg_fuel,leg_alcohol,leg_others,leg_fees,gov_total,gov_sales,gov_income,gov_corporate,gov_cigarette_tobacco,gov_fuel,gov_alcohol,gov_others,gov_fees,personal_income,population,taxes_last_year,percent_change_personal_income,percent_change_population,estimated_imbalance,state,gov_party,house_dem_share,senate_dem_share,citizen_ideology,year_of_biennium,ranney_10yrs,change_in_gov_party,change_in_house_dem_share,change_in_senate_dem_share,change_in_citizen_ideology,control,dem_gain_gov,dem_gain_house,dem_gain_senate
AL,1987,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,4,3.2,6.25,0,149,Alabama,Republican,0.8476190152380986,0.8571429,38.51693,First Year of Biennium,0.8453231,NA,NA,NA,NA,2,NA,0,0
AL,1988,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,4,3.4,7.84,0,8,Alabama,Republican,0.8476190152380986,0.8571429,45.02993,Second Year of Biennium,0.8188571,No Change,0,0,6.512999999999998,2,0,0,0
AL,1989,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,4.1,3.7,9.09,0,67,Alabama,Republican,0.8333332990196088,0.8235293875432533,37.47248,First Year of Biennium,0.7923909,No Change,-0.01428571621848973,-0.03361351245674671,-7.557450000000003,2,0,0,0
AL,1990,1991,47e6,0,0,0,0,0,0,47e6,0,55e6,0,0,0,0,0,0,55e6,0,0.067,4.1,3.8,5,2.5,-3,Alabama,Republican,0.8333332990196088,0.8235293875432533,33.83535,Second Year of Biennium,0.7641528,No Change,0,0,-3.637129999999999,2,0,0,0
AL,1991,1992,22e6,0,0,0,0,0,0,22e6,0,0,0,0,0,0,0,0,0,0,0.072,4.2,3.9,6.35,0,0,Alabama,Republican,0.7904762,0.8,39.80908,First Year of Biennium,0.7359145,No Change,-0.04285709901960888,-0.02352938754325329,5.973730000000003,2,0,0,0
AL,1992,1993,1e8,0,0,0,0,1e8,0,0,0,52e7,1e8,15e7,52e6,0,0,0,22e7,0,0.075,4.2,4.2,7.46,2.44,32,Alabama,Republican,0.7809524,0.8,39.62212,Second Year of Biennium,0.7267941,No Change,-0.009523799999999971,0,-0.18695999999999913,2,0,0,0
AL,1993,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,4.3,4.6,4.17,0,119,Alabama,Democrat,0.7809524,0.8,39.01714,First Year of Biennium,0.7176735,Change,0,0,-0.6049800000000047,3,1,0,0
AL,1994,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,4.3,4.8,5.33,2.38,0,Alabama,Democrat,0.7809524,0.7714286,39.41495,Second Year of Biennium,0.6907538,No Change,0,-0.028571400000000025,0.3978099999999998,3,0,0,0
AL,1995,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,4.3,5.1,6.33,0,43,Alabama,Republican,0.7047619,0.6571428342857166,33.42988,First Year of Biennium,0.663834,Change,-0.07619049999999994,-0.1142857657142834,-5.98507,2,-1,0,0
AL,1996,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,4.4,5.3,4.76,0,46,Alabama,Republican,0.6952381,0.6571428342857166,29.39924,Second Year of Biennium,0.6567626,No Change,-0.009523800000000082,0,-4.030639999999998,2,0,0,0
